Participant, Adaptor, Proportion, DV, IV, BaseSize, Setting, RT
1,baseline,0.25,size,SF,8,11.375,2.6998
1,baseline,0.5,size,SF,8,11.6875,2.1125
1,baseline,0.5,size,SF,8,12.3125,2.175
1,baseline,0.5,size,SF,8,11.3125,1.7002
1,baseline,0.5,size,SF,8,12.125,1.2253
1,baseline,0.71,size,SF,8,10.125,2.4374
1,baseline,0.71,size,SF,8,10.9375,2.9498
1,baseline,0.71,size,SF,8,11.9375,2.5374
1,baseline,0.71,size,SF,8,12.125,2.0126
1,baseline,1,size,SF,8,10.875,1.4254
1,baseline,1,size,SF,8,11.0625,1.6751
1,baseline,1,size,SF,8,12,1.4877
1,baseline,1,size,SF,8,10.375,2.4749
1,baseline,1.41,size,SF,8,9.25,2.5624
1,baseline,1.41,size,SF,8,10.3125,2.0751
1,baseline,1.41,size,SF,8,13.0625,1.4254
1,baseline,1.41,size,SF,8,11.125,2.5249
1,baseline,2,size,SF,8,11.25,1.6253
1,baseline,2,size,SF,8,10.1875,3.5496
1,baseline,2,size,SF,8,11.4375,1.7252
1,baseline,2,size,SF,8,11.625,1.6752
1,baseline,4,size,SF,8,9.625,1.4002
1,baseline,4,size,SF,8,11.0625,3.6746
1,baseline,4,size,SF,8,11.9375,1.8251
1,baseline,4,size,SF,8,11,1.7876
1,baseline,0.25,size,SF,8,10.375,3.0123
1,baseline,0.25,size,SF,8,10.75,2.3999
1,baseline,0.25,size,SF,8,10.8125,1.6002
1,baseline,0.25,size,SF,8,10.6875,2.3752
1,baseline,0.5,size,SF,8,10.3125,2.9748
1,baseline,0.5,size,SF,8,9.4375,3.15
1,baseline,0.5,size,SF,8,11.75,1.1503
1,baseline,0.5,size,SF,8,10.6875,1.9376
1,baseline,0.71,size,SF,8,9.25,3.3747
1,baseline,0.71,size,SF,8,10.875,2.2375
1,baseline,0.71,size,SF,8,12.3125,1.5002
1,baseline,0.71,size,SF,8,12.375,1.9126
1,baseline,1,size,SF,8,10.0625,2.5874
1,baseline,1,size,SF,8,11.0625,2.8748
1,baseline,1,size,SF,8,9.6875,2.15
1,baseline,1,size,SF,8,12.0625,1.3628
1,baseline,1.41,size,SF,8,9.875,2.3501
1,baseline,1.41,size,SF,8,10.625,1.5627
1,baseline,1.41,size,SF,8,10.3125,2.8124
1,baseline,1.41,size,SF,8,10.5625,3.6121
1,baseline,2,size,SF,8,9.9375,1.3491
1,baseline,2,size,SF,8,10.3125,2.8623
1,baseline,2,size,SF,8,11.25,1.3003
1,baseline,2,size,SF,8,10.6875,1.3752
1,baseline,4,size,SF,8,9.25,1.6126
1,baseline,4,size,SF,8,8.375,1.9252
1,baseline,4,size,SF,8,9.5,2.5999
1,baseline,4,size,SF,8,11.125,1.8876
1,baseline,0.25,SF,size,4,4.8064,9.1577
1,baseline,0.25,SF,size,4,6.7185,7.314
1,baseline,0.25,SF,size,4,6.7185,9.6856
1,baseline,0.25,SF,size,4,1.9953,9.0657
1,baseline,0.5,SF,size,4,5.2261,8.3152
1,baseline,0.5,SF,size,4,7.0057,7.5216
1,baseline,0.5,SF,size,4,5.6826,2.7589
1,baseline,0.5,SF,size,4,2.9083,9.2913
1,baseline,0.71,SF,size,4,7.0057,8.3057
1,baseline,0.71,SF,size,4,5.0119,2.4236
1,baseline,0.71,SF,size,4,3.4385,9.8101
1,baseline,0.71,SF,size,4,6.7185,8.5148
1,baseline,1,SF,size,4,4.0653,1.2922
1,baseline,1,SF,size,4,6.1789,7.9286
1,baseline,1,SF,size,4,2.9083,3.1731
1,baseline,1,SF,size,4,3.2975,7.4595
1,baseline,1.41,SF,size,4,6.7185,8.0047
1,baseline,1.41,SF,size,4,6.443,6.0164
1,baseline,1.41,SF,size,4,5.2261,3.6436
1,baseline,1.41,SF,size,4,3.7388,9.1937
1,baseline,2,SF,size,4,4.4203,6.5522
1,baseline,2,SF,size,4,3.2975,3.3312
1,baseline,2,SF,size,4,4.6093,7.8301
1,baseline,2,SF,size,4,2.9083,4.4807
1,baseline,4,SF,size,4,4.6093,5.8921
1,baseline,4,SF,size,4,7.6176,8.2426
1,baseline,4,SF,size,4,5.2261,8.0014
1,baseline,4,SF,size,4,2.9083,8.1695
1,baseline,0.25,SF,size,4,1.835,5.7897
1,baseline,0.25,SF,size,4,0.82829,1.401
1,baseline,0.25,SF,size,4,1.2589,3.1981
1,baseline,0.25,SF,size,4,0.79433,1.1097
1,baseline,0.5,SF,size,4,2.9083,2.9182
1,baseline,0.5,SF,size,4,3.0326,8.6788
1,baseline,0.5,SF,size,4,4.8064,5.2067
1,baseline,0.5,SF,size,4,5.4496,2.8167
1,baseline,0.71,SF,size,4,3.7388,6.4376
1,baseline,0.71,SF,size,4,3.8986,7.3484
1,baseline,0.71,SF,size,4,3.4385,7.5975
1,baseline,0.71,SF,size,4,4.6093,1.0132
1,baseline,1,SF,size,4,3.8986,3.1313
1,baseline,1,SF,size,4,5.9255,8.9378
1,baseline,1,SF,size,4,3.7388,2.4097
1,baseline,1,SF,size,4,4.4203,3.0675
1,baseline,1.41,SF,size,4,6.7185,5.5
1,baseline,1.41,SF,size,4,5.0119,1.0118
1,baseline,1.41,SF,size,4,7.0057,5.9992
1,baseline,1.41,SF,size,4,3.8986,3.2477
1,baseline,2,SF,size,4,4.0653,1.892
1,baseline,2,SF,size,4,5.9255,7.54
1,baseline,2,SF,size,4,5.6826,4.7498
1,baseline,2,SF,size,4,3.5855,4.068
1,baseline,4,SF,size,4,7.3053,5.0505
1,baseline,4,SF,size,4,6.1789,5.4892
1,baseline,4,SF,size,4,5.4496,8.8305
1,baseline,4,SF,size,4,5.4496,5.9687
1,baseline,0.25,SF,size,8,2.2623,7.7825
1,baseline,0.25,SF,size,8,5.0119,4.5505
1,baseline,0.25,SF,size,8,4.2391,5.7172
1,baseline,0.25,SF,size,8,4.8064,6.3866
1,baseline,0.5,SF,size,8,2.789,3.8433
1,baseline,0.5,SF,size,8,5.0119,4.5145
1,baseline,0.5,SF,size,8,5.9255,9.3891
1,baseline,0.5,SF,size,8,3.7388,5.0558
1,baseline,0.71,SF,size,8,3.1623,6.1021
1,baseline,0.71,SF,size,8,3.4385,5.3219
1,baseline,0.71,SF,size,8,4.6093,7.6827
1,baseline,0.71,SF,size,8,3.2975,5.2665
1,baseline,1,SF,size,8,3.8986,8.2646
1,baseline,1,SF,size,8,6.443,6.524
1,baseline,1,SF,size,8,4.4203,5.5767
1,baseline,1,SF,size,8,3.4385,6.0464
1,baseline,1.41,SF,size,8,5.2261,6.6231
1,baseline,1.41,SF,size,8,6.7185,6.5808
1,baseline,1.41,SF,size,8,4.6093,6.8606
1,baseline,1.41,SF,size,8,4.0653,8.2217
1,baseline,2,SF,size,8,6.7185,3.5156
1,baseline,2,SF,size,8,3.8986,1.087
1,baseline,2,SF,size,8,5.2261,7.0769
1,baseline,2,SF,size,8,3.2975,3.6782
1,baseline,4,SF,size,8,6.443,4.445
1,baseline,4,SF,size,8,2.9083,6.7788
1,baseline,4,SF,size,8,6.1789,6.1138
1,baseline,4,SF,size,8,4.0653,4.8603
1,baseline,0.25,SF,size,8,2.4599,4.6793
1,baseline,0.25,SF,size,8,3.7388,6.2084
1,baseline,0.25,SF,size,8,4.6093,7.2879
1,baseline,0.25,SF,size,8,3.4385,3.6493
1,baseline,0.5,SF,size,8,3.2975,5.0465
1,baseline,0.5,SF,size,8,4.0653,1.0881
1,baseline,0.5,SF,size,8,5.0119,6.6099
