Participant, Proportion, BaseSize, Setting, RT
5,4,4,4.6093,3.2974
5,4,4,4.4203,5.2402
5,0.25,8,2.0806,4.4056
5,0.25,8,2.2623,1.8496
5,0.25,8,2.1695,2.9065
5,0.25,8,3.2975,2.7686
5,0.5,8,3.7388,4.1582
5,0.5,8,5.6826,4.7002
5,0.5,8,5.2261,3.3704
5,0.5,8,5.0119,2.8143
5,0.71,8,3.7388,2.0141
5,0.71,8,4.0653,3.07
5,0.71,8,3.4385,6.4424
5,0.71,8,3.8986,4.2425
5,1,8,5.4496,1.9456
5,1,8,5.2261,2.8288
5,1,8,4.6093,2.7514
5,1,8,3.2975,3.0305
5,1.41,8,4.0653,2.4699
5,1.41,8,5.2261,1.8401
5,1.41,8,6.1789,4.4171
5,1.41,8,4.4203,3.7663
5,2,8,7.0057,2.8882
5,2,8,5.0119,4.3117
5,2,8,5.9255,2.2203
5,2,8,4.6093,5.3164
5,4,8,5.2261,5.4966
5,4,8,5.0119,4.18
5,4,8,4.4203,5.1873
5,4,8,5.4496,4.4643
5,0.25,8,2.6747,4.5997
5,0.25,8,2.565,3.9813
5,0.25,8,3.7388,9.8678
5,0.25,8,2.565,7.4814
5,0.5,8,3.7388,3.4674
5,0.5,8,5.9255,5.71
5,0.5,8,4.2391,4.3772
5,0.5,8,3.8986,3.4432
5,0.71,8,2.359,2.2011
5,0.71,8,3.1623,2.8476
5,0.71,8,3.5855,4.6056
5,0.71,8,4.0653,2.9924
5,1,8,4.0653,6.0821
5,1,8,4.4203,4.8014
5,1,8,3.8986,5.3046
5,1,8,2.9083,5.5363
5,1.41,8,3.2975,2.7978
5,1.41,8,4.0653,2.6183
5,1.41,8,4.2391,3.8627
5,1.41,8,4.0653,4.1989
5,2,8,3.2975,5.6226
5,2,8,3.5855,4.736
5,2,8,4.0653,4.6153
5,2,8,4.4203,4.5685
5,4,8,8.637,9.4908
5,4,8,4.8064,1.2296
5,4,8,7.0057,2.4956
5,4,8,4.4203,5.3162
6,0.25,4,1.0648,3.537
6,0.25,4,0.56826,8.3357
6,0.25,4,1.1578,0.97616
6,0.25,4,1.0212,0.88498
6,0.5,4,3.4385,5.3412
6,0.5,4,3.7388,4.3729
6,0.5,4,3.4385,5.27
6,0.5,4,1.9953,1.3074
6,0.71,4,3.4385,4.2541
6,0.71,4,2.789,3.1364
6,0.71,4,4.0653,2.6312
6,0.71,4,3.5855,4.5903
6,1,4,3.7388,3.6108
6,1,4,3.0326,4.231
6,1,4,3.2975,5.0492
6,1,4,4.2391,3.8357
6,1.41,4,5.2261,2.7008
6,1.41,4,5.0119,3.7637
6,1.41,4,5.9255,4.1994
6,1.41,4,3.8986,6.5162
6,2,4,5.9255,5.2813
6,2,4,4.8064,4.2626
6,2,4,4.8064,5.9272
6,2,4,6.1789,5.5011
6,4,4,5.0119,5.6706
6,4,4,5.4496,7.9778
6,4,4,5.0119,6.1496
6,4,4,4.4203,5.9137
6,0.25,4,0.52261,0.69868
6,0.25,4,1.835,3.5664
6,0.25,4,1.3127,3.9288
6,0.25,4,0.6443,0.80642
6,0.5,4,2.565,1.7909
6,0.5,4,1.5521,3.5148
6,0.5,4,1.9953,2.4724
6,0.5,4,3.1623,3.64
6,0.71,4,3.4385,3.5458
6,0.71,4,3.4385,3.2023
6,0.71,4,3.4385,2.7486
6,0.71,4,3.5855,3.6348
6,1,4,3.7388,3.3552
6,1,4,5.9255,3.9604
6,1,4,4.4203,0.83561
6,1,4,5.9255,1.5208
6,1.41,4,5.6826,0.82941
6,1.41,4,4.6093,3.5231
6,1.41,4,4.0653,1.7931
6,1.41,4,5.0119,3.0142
6,2,4,4.0653,1.8774
6,2,4,6.7185,3.1378
6,2,4,4.6093,3.6919
6,2,4,4.4203,2.7976
6,4,4,9.0063,4.8528
6,4,4,6.7185,4.152
6,4,4,4.8064,3.7475
6,4,4,5.6826,2.9409
6,0.25,8,2.359,5.181
6,0.25,8,1.2073,4.9294
6,0.25,8,0.76176,3.9134
6,0.25,8,0.59255,4.9326
6,0.5,8,1.9953,2.8112
6,0.5,8,3.1623,0.98946
6,0.5,8,2.2623,1.9585
6,0.5,8,1.835,2.0974
6,0.71,8,2.359,5.709
6,0.71,8,3.2975,0.84018
6,0.71,8,6.443,2.1562
6,0.71,8,5.0119,2.0143
6,1,8,2.789,2.957
6,1,8,2.789,2.0817
6,1,8,5.2261,5.0504
6,1,8,3.0326,3.6556
6,1.41,8,3.5855,3.9738
6,1.41,8,4.4203,5.2353
6,1.41,8,4.0653,8.7005
6,1.41,8,5.6826,3.6622
6,2,8,3.2975,3.481
6,2,8,3.1623,3.217
6,2,8,4.6093,3.6695
6,2,8,3.7388,1.7282
6,4,8,4.0653,4.6084
6,4,8,7.3053,2.4722
6,4,8,5.2261,5.0632
6,4,8,4.4203,4.5245
6,0.25,8,1.5521,4.5379
6,0.25,8,1.9953,5.443
6,0.25,8,1.835,6.0012
6,0.25,8,1.6876,1.6689
